Boroughs;Year;% of economically active with NVQ4+ - working age;% of economically active with NVQ3 only - working age;% of economically active with Trade Apprenticeships - working age;% of economically active with NVQ2 only - working age;% of economically active with NVQ1 only - working age;% of economically active with other qualifications - working age;% of economically active with no qualifications - working age;Gross Annual Pay - Full Time - Total (£);Gross Annual Pay - Full Time - Male (£);Gross Annual Pay - Full Time - Female (£);Those who have done any voluntary work in the last 12 months (%);Number of active businesses;Two-year business survival rates;Number Employed - Total;Number Employed - Male;Number Employed - Female;Jobs Density;Crime Rates per thousand population;Fires per thousand population;Ambulance incidents per hundred population;Total Carbon Emissions;Household Waste Recycling Rate;Number of Licensed Vehicles;Traffic Flows;% of adults who cycle at least once per month;Road Casualties (Killed or Seriously Injured);% children living in out-of-work households;% of Children in Poverty,,,,,,,,,,,,,,,,
Newham;2011;48;9,8;!;8,2;7,5;16,8;9,3;29998;32468;27319;8,417459639;7195;70,9;89000;51000;39000;0,41;103,1082909;3,900663532;13,09218579;1438,301964;23;72040;904;11;74;27,6;33,4,,
Redbridge;2011;43,6;16,5;1,2;13,7;6,1;10,8;8;29829;33438;27070;25,17861958;10475;74,9;76000;38000;39000;0,42;86,20266885;2,78967288;11,378667;946,8583638;33;111012;1106;6;76;20,5;23,4,
Richmond upon Thames;2011;62,1;14,7;0,8;8,6;6,7;5,1;2;32197;34964;29867;48,6835394;12340;78,3;97000;46000;51000;0,76;64,05477611;2,079700523;9,567688919;842,5982838;45;86748;766;31;69;9,0;10,2,
Southwark;2011;64;9,5;0,7;7;5,2;9,1;4,6;36124;38615;32408;26,4130463;14410;71,4;250000;151000;99000;1,16;119,407586;4,32603553;14,76844107;1401,37828;27;69528;751;22;126;29,1;30,8,,
Sutton;2011;38,6;15;4;16,7;12,4;9,2;4,1;26743;26719;26718;23,50847856;7240;79,1;79000;43000;35000;0,62;61,40548233;2,820173396;10,74282007;749,4073412;37;95480;612;13;45;15,8;16,0,,
Tower Hamlets;2011;58,2;9,8;0,5;8,9;6,3;8;8,4;45970;52669;38208;20,6398546;12850;74,9;251000;157000;93000;1,32;115,0414824;5,734106214;13,03610768;1922,031308;27;49016;904;15;103;38,7;46,1,
Waltham Forest;2011;44,8;10,6;2,4;13,5;10,3;9,6;8,8;28005;28132;27534;19,24181761;7940;68,6;72000;38000;33000;0,4;95,77195833;3,430327017;12,20095325;824,9913555;27;85375;651;11;68;25,7;28,9
Wandsworth;2011;71,2;6,6;0,7;5,9;6,5;5,1;4,1;32033;34198;30829;34,56799535;15455;77,7;126000;68000;58000;0,55;79,26944201;2,395112281;10,27460921;1136,095786;28;95038;795;20;112;19,8;22,1
Westminster;2011;69,4;6,7;1;5,6;3,8;8,4;5;37406;41633;32251;23,94329077;48240;68,9;671000;394000;276000;4,15;302,0056289;4,686176463;22,41303932;2938,715169;25;61004;846;17;160;32,7;36,7,,
City of London;2012;63,2;8,6;0,8;7,3;5,9;8,3;5,8;37851;42000;33262;-;16765;62,6;447900;293000;154800;77,46;-;11,96738559;82,61441347;1532,948466;36;3687;157;11;58;10,0;11,9,,
